,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
82,A-,0.9125,2,0.861111111,0,0.888888889,0.891891892,0.884615385,0.552631579,0.847826087,0.666666667,1,0.92,0.8,0.666666667,0.9,0.86,0.78,1,0.833333333,1,1,0.777777778,1,2,2,1,92,46,80,Civil III,9,A-
83,F,0,0,0.688888889,0,0.944444444,0.621621622,0.884615385,0.552631579,0.782608696,0,0.666666667,0.86,0.8,0.833333333,0.98,0.86,0.8,0,0.777777778,0,0.722222222,0.888888889,0.944444444,0,0,0,86,43,0,Civil III,0,F
84,A-,0.91,2,0.436111111,1,0.666666667,0.567567568,0.634615385,0.710526316,0.815217391,1,1,0.9,1,0.75,0.94,0.92,0.7,1,0.833333333,0.888888889,1,1,1,2,2,1,90,45,80,Civil III,9,A-
85,F,0,0,0.638888889,0,0.638888889,0.513513514,0.576923077,0.526315789,0.782608696,1,0,0.6,0.86,0.666666667,0.78,0.92,0.74,0,0.777777778,0,0,0,1,0,0,0,60,30,0,Civil III,0,F
86,F,0,0,0.75,0,0.611111111,0.135135135,0.5,0.342105263,0,0,1,0.68,0.9,0.541666667,0.8,0.92,0.74,0.888888889,0.666666667,0,0.888888889,0.722222222,1,0,0,0,68,34,0,Civil III,0,F
87,A,0.9475,1,0.864722222,1,0.972222222,1,1,0.815789474,0.880434783,0.666666667,0,0.9,0.98,0.791666667,0.92,0.98,0.72,1,0.777777778,1,1,0.944444444,1,1,1,1,90,45,85,Civil III,10,A
88,B+,0.8125,3,0.916666667,0,0.916666667,0.918918919,0.903846154,0.684210526,0.847826087,0.666666667,0.666666667,0.9,0.8,0.583333333,0.9,0.92,0.7,0.722222222,0.722222222,0.944444444,1,0.833333333,1,3,3,1,90,45,75,Civil III,8,B+
89,A,1,1,0.69,0,0.833333333,0.810810811,0.519230769,0.789473684,0.923913043,0,0.666666667,0.92,0.94,0.75,0.9,0.92,0.78,1,1,1,1,1,1,1,1,1,92,46,90,Civil V,10,A
90,A,1,1,0.791666667,0,0.722222222,0.567567568,0.75,0.552631579,0.815217391,1,1,0.9,0.88,0.958333333,0.94,0.96,0.68,1,0.944444444,1,1,1,0.944444444,1,1,1,90,45,90,Civil V,10,A
91,A,0.9925,1,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.94,0.92,0.625,0.92,0.94,0.72,0.888888889,1,1,0.944444444,0.888888889,1,1,1,1,94,47,85,Civil V,10,A
92,A,0.9925,1,0.833333333,1,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,1,1,0.92,0.92,0.75,0.98,0.96,0.82,1,1,1,1,1,1,1,1,1,92,46,85,Civil V,10,A
93,A,0.9925,1,0.861111111,1,0.777777778,0.675675676,0.865384615,0.394736842,0.760869565,1,1,0.98,0.86,0.416666667,0.94,0.76,0.8,0.944444444,0.833333333,0.944444444,0,0,0.944444444,1,1,1,98,49,85,Civil V,10,A
94,A,0.9875,1,0.888888889,0,0.722222222,0.567567568,0.634615385,0.394736842,0.869565217,1,1,0.94,0.92,0.666666667,0.76,0.84,0.76,0.722222222,1,0.888888889,0.888888889,0.777777778,1,1,1,1,94,47,85,Civil V,10,A
95,A,0.9825,1,0.527777778,1,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.76,0.5,0.083333333,0.46,0.62,0.82,0,0,0,0,0,1,1,1,1,76,38,85,Civil V,10,A
96,A,0.98,1,0.555555556,0,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.46,0.68,0.333333333,0.64,0.8,0.84,0,0,0,0.833333333,0.777777778,1,1,1,1,46,23,85,Civil V,10,A
97,A,0.975,1,0.583333333,0,0.5,0.756756757,0.326923077,0.026315789,0.52173913,0,1,0.64,0.78,0.583333333,0.8,0.82,0.8,0.722222222,0,0.722222222,0.777777778,0.833333333,0.888888889,1,1,1,64,32,85,Civil V,10,A
98,A,0.9725,1,0.416666667,0,0.583333333,0.027027027,0.442307692,0.157894737,0,1,0.666666667,0.8,0.76,0.583333333,0.8,0.94,0.9,0.833333333,0.722222222,0.888888889,0.888888889,0,1,1,1,1,80,40,85,Civil V,10,A
99,A,0.9675,1,0.294444444,1,0.5,0.486486486,0.365384615,0.447368421,0,1,0,0.8,0.78,0.541666667,0.78,0.8,0.78,0,0,0.777777778,0.777777778,0.722222222,0.944444444,1,1,1,80,40,85,Civil V,10,A
100,A,0.9675,1,0.322222222,1,0.5,0.486486486,0.365384615,0.447368421,0,1,0,0.78,0.62,0.333333333,0.46,0.76,0.62,0,0,0.555555556,0.722222222,0.722222222,1,1,1,1,78,39,85,Civil V,10,A
101,A,0.9625,1,0.35,1,0.5,0.486486486,0.365384615,0.447368421,0,1,0,0.46,0.68,0.333333333,0.7,0.74,0.76,0,0,0.555555556,0.722222222,0.722222222,1,1,1,1,46,23,85,Civil V,10,A
102,A,0.9575,1,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.7,0.56,0.125,0.7,0.8,0.54,0,0,0,0,0,1,1,1,1,70,35,85,Civil V,10,A
103,A,0.9475,1,0.75,0,0.805555556,0.675675676,0.480769231,0.657894737,0,1,0.666666667,0.7,0.92,0.583333333,0.8,0.92,0.8,0.833333333,0.944444444,0.833333333,1,0.833333333,1,1,1,1,70,35,85,Civil V,10,A
104,A,0.9425,1,0.604166667,1,0.75,0.594594595,0.769230769,0.736842105,0.782608696,0,1,0.8,0.76,0.833333333,0.76,0.82,0.84,0.833333333,0.888888889,0.722222222,0.888888889,0.777777778,1,1,1,1,80,40,85,Civil V,10,A
105,A,0.935,1,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.76,0.56,0.416666667,0.66,0.74,0.66,0,0,0,0,0.777777778,1,1,1,1,76,38,85,Civil V,10,A
